question,original_result,generated_cypher,generated_result
List the movies directed by persons born after 1960.,"[{""MovieTitle"": ""Speed Racer"", ""DirectorName"": ""Lana Wachowski""}, {""MovieTitle"": ""Cloud Atlas"", ""DirectorName"": ""Lana Wachowski""}, {""MovieTitle"": ""The Matrix Revolutions"", ""DirectorName"": ""Lana Wachowski""}, {""MovieTitle"": ""The Matrix Reloaded"", ""DirectorName"": ""Lana Wachowski""}, {""MovieTitle"": ""The Matrix"", ""DirectorName"": ""Lana Wachowski""}, {""MovieTitle"": ""Cloud Atlas"", ""DirectorName"": ""Tom Tykwer""}, {""MovieTitle"": ""Speed Racer"", ""DirectorName"": ""Lilly Wachowski""}, {""MovieTitle"": ""Cloud Atlas"", ""DirectorName"": ""Lilly Wachowski""}, {""MovieTitle"": ""The Matrix Revolutions"", ""DirectorName"": ""Lilly Wachowski""}, {""MovieTitle"": ""The Matrix Reloaded"", ""DirectorName"": ""Lilly Wachowski""}, {""MovieTitle"": ""The Matrix"", ""DirectorName"": ""Lilly Wachowski""}, {""MovieTitle"": ""Ninja Assassin"", ""DirectorName"": ""James Marshall""}, {""MovieTitle"": ""V for Vendetta"", ""DirectorName"": ""James Marshall""}]","MATCH (p:Person) WHERE p.born > 1960 MATCH (p)-[r:DIRECTED]->(m:Movie) RETURN p.name AS Director, m.title AS Movie, m.released AS Released ORDER BY m.released LIMIT 50;","[{""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix"", ""Released"": 1999}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix"", ""Released"": 1999}, {""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix Revolutions"", ""Released"": 2003}, {""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix Reloaded"", ""Released"": 2003}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix Revolutions"", ""Released"": 2003}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix Reloaded"", ""Released"": 2003}, {""Director"": ""James Marshall"", ""Movie"": ""V for Vendetta"", ""Released"": 2006}, {""Director"": ""Lana Wachowski"", ""Movie"": ""Speed Racer"", ""Released"": 2008}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""Speed Racer"", ""Released"": 2008}, {""Director"": ""James Marshall"", ""Movie"": ""Ninja Assassin"", ""Released"": 2009}, {""Director"": ""Lana Wachowski"", ""Movie"": ""Cloud Atlas"", ""Released"": 2012}, {""Director"": ""Tom Tykwer"", ""Movie"": ""Cloud Atlas"", ""Released"": 2012}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""Cloud Atlas"", ""Released"": 2012}]"
What is the average rating given by people born after 1980?,"[{""average_rating"": null}]",MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE p.born > 1980 RETURN AVG(r.rating) AS AverageRating LIMIT 1;,"[{""AverageRating"": null}]"
Which 3 people born before 1950 acted in a movie with a tagline containing 'limits'?,"[{""p.name"": ""Susan Sarandon""}]","MATCH (p:Person) WHERE p.born < 1950 OPTIONAL MATCH (p)-[r:ACTED_IN]->(m:Movie) WHERE toLower(m.tagline) CONTAINS 'limits' RETURN p.name AS Actor, m.title AS Movie LIMIT 3;","[{""Actor"": ""Max von Sydow"", ""Movie"": null}, {""Actor"": ""Gene Hackman"", ""Movie"": null}, {""Actor"": ""Richard Harris"", ""Movie"": null}]"
Name the people who have produced movies with less than 100 votes.,"[{""p.name"": ""Nora Ephron""}, {""p.name"": ""Rob Reiner""}, {""p.name"": ""Lana Wachowski""}, {""p.name"": ""Lilly Wachowski""}, {""p.name"": ""Joel Silver""}, {""p.name"": ""Joel Silver""}, {""p.name"": ""Lana Wachowski""}, {""p.name"": ""Joel Silver""}, {""p.name"": ""Lilly Wachowski""}, {""p.name"": ""Nancy Meyers""}]",MATCH (p:Person)-[r:PRODUCED]->(m:Movie) WHERE m.votes < 100 RETURN DISTINCT p.name AS Producer LIMIT 50;,"[{""Producer"": ""Nora Ephron""}, {""Producer"": ""Rob Reiner""}, {""Producer"": ""Lana Wachowski""}, {""Producer"": ""Lilly Wachowski""}, {""Producer"": ""Joel Silver""}, {""Producer"": ""Nancy Meyers""}]"
Who are the first 3 actors by the number of different movies acted in?,"[{""p.name"": ""Tom Hanks"", ""movies_count"": 12}, {""p.name"": ""Keanu Reeves"", ""movies_count"": 7}, {""p.name"": ""Hugo Weaving"", ""movies_count"": 5}]","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WITH p, COUNT(DISTINCT m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Actor, movie_count AS MoviesCount LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""MoviesCount"": 12}, {""Actor"": ""Keanu Reeves"", ""MoviesCount"": 7}, {""Actor"": ""Hugo Weaving"", ""MoviesCount"": 5}]"
List the top 5 movies by number of roles in the 'ACTED_IN' relationship.,"[{""movie"": ""The Polar Express"", ""numRoles"": 6}, {""movie"": ""Cloud Atlas"", ""numRoles"": 6}, {""movie"": ""Cloud Atlas"", ""numRoles"": 4}, {""movie"": ""Cloud Atlas"", ""numRoles"": 4}, {""movie"": ""Joe Versus the Volcano"", ""numRoles"": 3}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH m, COUNT(r.roles) AS roles_count ORDER BY roles_count DESC RETURN m.title AS Movie, roles_count AS RolesCount LIMIT 5;","[{""Movie"": ""A Few Good Men"", ""RolesCount"": 12}, {""Movie"": ""Jerry Maguire"", ""RolesCount"": 9}, {""Movie"": ""The Green Mile"", ""RolesCount"": 8}, {""Movie"": ""Stand By Me"", ""RolesCount"": 7}, {""Movie"": ""Speed Racer"", ""RolesCount"": 7}]"
"Find the movie with the highest number of votes that does not have the word ""a"" in its title.","[{""m"": {""tagline"": ""I feel the need, the need for speed."", ""votes"": 545, ""title"": ""Top Gun"", ""released"": 1986}}]",,"""Sorry, I couldn't find an answer to your question"""
Show the top 5 movies by the number of reviews they received.,"[{""movieTitle"": ""The Replacements"", ""reviewCount"": 3}, {""movieTitle"": ""The Da Vinci Code"", ""reviewCount"": 2}, {""movieTitle"": ""The Birdcage"", ""reviewCount"": 1}, {""movieTitle"": ""Cloud Atlas"", ""reviewCount"": 1}, {""movieTitle"": ""Unforgiven"", ""reviewCount"": 1}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH m, COUNT(r) AS review_count ORDER BY review_count DESC RETURN m.title AS Movie, review_count AS ReviewCount LIMIT 5;","[{""Movie"": ""The Replacements"", ""ReviewCount"": 3}, {""Movie"": ""The Da Vinci Code"", ""ReviewCount"": 2}, {""Movie"": ""The Birdcage"", ""ReviewCount"": 1}, {""Movie"": ""Cloud Atlas"", ""ReviewCount"": 1}, {""Movie"": ""Unforgiven"", ""ReviewCount"": 1}]"
List the roles of Laurence Fishburne in movies with a release year after 2000.,"[{""m.title"": ""The Matrix Revolutions"", ""m.released"": 2003, ""roles"": [[""Morpheus""]]}, {""m.title"": ""The Matrix Reloaded"", ""m.released"": 2003, ""roles"": [[""Morpheus""]]}]","MATCH (p:Person {name: ""Laurence Fishburne""})-[r:ACTED_IN]->(m:Movie) WHERE m.released > 2000 RETURN m.title AS Movie, r.roles AS Roles LIMIT 50;","[{""Movie"": ""The Matrix Revolutions"", ""Roles"": [""Morpheus""]}, {""Movie"": ""The Matrix Reloaded"", ""Roles"": [""Morpheus""]}]"
What is the average number of votes for movies with a rating above 90?,"[{""average_votes"": 100.0}]",MATCH (m:Movie) WHERE m.votes > 90 RETURN AVG(m.votes) AS AverageVotes LIMIT 1;,"[{""AverageVotes"": 424.9333333333333}]"
Which person has directed movies with a rating higher than 95?,"[{""p.name"": ""Howard Deutch""}]",MATCH (p:Person)-[:DIRECTED]->(m:Movie) OPTIONAL MATCH (p)-[rev:REVIEWED]->(m) WHERE rev.rating > 95 RETURN DISTINCT p.name AS Director LIMIT 50;,"[{""Director"": ""Lana Wachowski""}, {""Director"": ""Lilly Wachowski""}, {""Director"": ""Taylor Hackford""}, {""Director"": ""Rob Reiner""}, {""Director"": ""Tony Scott""}, {""Director"": ""Cameron Crowe""}, {""Director"": ""James L. Brooks""}, {""Director"": ""Vincent Ward""}, {""Director"": ""Scott Hicks""}, {""Director"": ""Nora Ephron""}, {""Director"": ""John Patrick Stanley""}, {""Director"": ""Tom Hanks""}, {""Director"": ""Howard Deutch""}, {""Director"": ""Werner Herzog""}, {""Director"": ""Mike Nichols""}, {""Director"": ""Clint Eastwood""}, {""Director"": ""Robert Longo""}, {""Director"": ""Tom Tykwer""}, {""Director"": ""Ron Howard""}, {""Director"": ""James Marshall""}, {""Director"": ""Frank Darabont""}, {""Director"": ""Danny DeVito""}, {""Director"": ""Jan de Bont""}, {""Director"": ""Robert Zemeckis""}, {""Director"": ""Milos Forman""}, {""Director"": ""Nancy Meyers""}, {""Director"": ""Chris Columbus""}, {""Director"": ""Penny Marshall""}]"
What is the average number of followers for people born in the 1980s?,"[{""average_followers"": null}]","MATCH (p:Person) WHERE p.born >= 1980 AND p.born < 1990 OPTIONAL MATCH (p)<-[f:FOLLOWS]-(follower:Person) WITH p, COUNT(follower) AS follower_count RETURN AVG(follower_count) AS AverageFollowers LIMIT 1;","[{""AverageFollowers"": 0.0}]"
"What is the average rating of movies with the word ""funny"" in their review summary and released after 2010?","[{""averageRating"": null}]","MATCH (m:Movie) WHERE m.released > 2010 OPTIONAL MATCH (p:Person)-[r:REVIEWED]->(m) WHERE toLower(r.summary) CONTAINS ""funny"" RETURN AVG(r.rating) AS AverageRating LIMIT 1;","[{""AverageRating"": null}]"
List the top 5 most recent movies in the graph.,"[{""m"": {""tagline"": ""Everything is connected"", ""votes"": 121, ""title"": ""Cloud Atlas"", ""released"": 2012}}, {""m"": {""tagline"": ""Prepare to enter a secret world of assassins"", ""votes"": 15, ""title"": ""Ninja Assassin"", ""released"": 2009}}, {""m"": {""tagline"": ""400 million people were waiting for the truth."", ""votes"": 1, ""title"": ""Frost/Nixon"", ""released"": 2008}}, {""m"": {""tagline"": ""Speed has no limits"", ""votes"": 30, ""title"": ""Speed Racer"", ""released"": 2008}}, {""m"": {""tagline"": ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire."", ""votes"": 25, ""title"": ""Charlie Wilson's War"", ""released"": 2007}}]","MATCH (m:Movie) RETURN m.title AS Movie, m.released AS Released ORDER BY m.released DESC LIMIT 5;","[{""Movie"": ""Cloud Atlas"", ""Released"": 2012}, {""Movie"": ""Ninja Assassin"", ""Released"": 2009}, {""Movie"": ""Frost/Nixon"", ""Released"": 2008}, {""Movie"": ""Speed Racer"", ""Released"": 2008}, {""Movie"": ""Charlie Wilson's War"", ""Released"": 2007}]"
Which people have reviewed the same movie and what were their review summaries?,"[{""Reviewer1"": ""Angela Scope"", ""Reviewer2"": ""James Thompson"", ""Movie"": ""The Replacements"", ""Review1"": ""Pretty funny at times"", ""Review2"": ""The coolest football movie ever""}, {""Reviewer1"": ""Jessica Thompson"", ""Reviewer2"": ""James Thompson"", ""Movie"": ""The Replacements"", ""Review1"": ""Silly, but fun"", ""Review2"": ""The coolest football movie ever""}, {""Reviewer1"": ""James Thompson"", ""Reviewer2"": ""Angela Scope"", ""Movie"": ""The Replacements"", ""Review1"": ""The coolest football movie ever"", ""Review2"": ""Pretty funny at times""}, {""Reviewer1"": ""Jessica Thompson"", ""Reviewer2"": ""Angela Scope"", ""Movie"": ""The Replacements"", ""Review1"": ""Silly, but fun"", ""Review2"": ""Pretty funny at times""}, {""Reviewer1"": ""James Thompson"", ""Reviewer2"": ""Jessica Thompson"", ""Movie"": ""The Replacements"", ""Review1"": ""The coolest football movie ever"", ""Review2"": ""Silly, but fun""}, {""Reviewer1"": ""Angela Scope"", ""Reviewer2"": ""Jessica Thompson"", ""Movie"": ""The Replacements"", ""Review1"": ""Pretty funny at times"", ""Review2"": ""Silly, but fun""}, {""Reviewer1"": ""James Thompson"", ""Reviewer2"": ""Jessica Thompson"", ""Movie"": ""The Da Vinci Code"", ""Review1"": ""Fun, but a little far fetched"", ""Review2"": ""A solid romp""}, {""Reviewer1"": ""Jessica Thompson"", ""Reviewer2"": ""James Thompson"", ""Movie"": ""The Da Vinci Code"", ""Review1"": ""A solid romp"", ""Review2"": ""Fun, but a little far fetched""}]","MATCH (p1:Person)-[r1:REVIEWED]->(m:Movie)<-[r2:REVIEWED]-(p2:Person) WHERE p1 <> p2 RETURN m.title AS Movie, COLLECT(DISTINCT p1.name) AS Reviewers, COLLECT(DISTINCT r1.summary) AS Summaries ORDER BY Movie LIMIT 50;","[{""Movie"": ""The Da Vinci Code"", ""Reviewers"": [""James Thompson"", ""Jessica Thompson""], ""Summaries"": [""Fun, but a little far fetched"", ""A solid romp""]}, {""Movie"": ""The Replacements"", ""Reviewers"": [""Angela Scope"", ""Jessica Thompson"", ""James Thompson""], ""Summaries"": [""Pretty funny at times"", ""Silly, but fun"", ""The coolest football movie ever""]}]"
What is the highest rating given to a movie?,"[{""highestRating"": 100}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) RETURN m.title AS Movie, MAX(r.rating) AS HighestRating LIMIT 50;","[{""HighestRating"": 92, ""Movie"": ""Jerry Maguire""}, {""HighestRating"": 100, ""Movie"": ""The Replacements""}, {""HighestRating"": 45, ""Movie"": ""The Birdcage""}, {""HighestRating"": 85, ""Movie"": ""Unforgiven""}, {""HighestRating"": 95, ""Movie"": ""Cloud Atlas""}, {""HighestRating"": 68, ""Movie"": ""The Da Vinci Code""}]"
What is the average number of votes for movies released in the 2000s?,"[{""average_votes"": 315.71428571428567}]",MATCH (m:Movie) WHERE m.released >= 2000 AND m.released < 2010 RETURN AVG(m.votes) AS AverageVotes LIMIT 1;,"[{""AverageVotes"": 316.57142857142856}]"
What are the combined total votes of all movies Joel Silver produced?,"[{""total_votes"": 3698}]","MATCH (p:Person {name: ""Joel Silver""})-[r:PRODUCED]->(m:Movie) RETURN SUM(m.votes) AS TotalVotes LIMIT 1;","[{""TotalVotes"": 3722}]"
Who are the directors of movies with more than 1000 votes?,"[{""Director"": ""Lana Wachowski"", ""MovieTitle"": ""The Matrix Reloaded""}, {""Director"": ""Lilly Wachowski"", ""MovieTitle"": ""The Matrix Reloaded""}, {""Director"": ""Lana Wachowski"", ""MovieTitle"": ""The Matrix Revolutions""}, {""Director"": ""Lilly Wachowski"", ""MovieTitle"": ""The Matrix Revolutions""}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE m.votes > 1000 RETURN p.name AS Director, m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 50;","[{""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}]"
What are the top 5 reviewed movies by summary 'An amazing journey'?,"[{""m.title"": ""Cloud Atlas"", ""reviews"": 1}]","MATCH (m:Movie) OPTIONAL MATCH (p:Person)-[r:REVIEWED]->(m) WHERE r.summary = ""An amazing journey"" RETURN m.title AS Movie, COUNT(r) AS ReviewCount, COLLECT(p.name) AS Reviewers ORDER BY ReviewCount DESC LIMIT 5;","[{""Movie"": ""Cloud Atlas"", ""ReviewCount"": 1, ""Reviewers"": [""Jessica Thompson""]}, {""Movie"": ""The Matrix Revolutions"", ""ReviewCount"": 0, ""Reviewers"": []}, {""Movie"": ""The Devil's Advocate"", ""ReviewCount"": 0, ""Reviewers"": []}, {""Movie"": ""A Few Good Men"", ""ReviewCount"": 0, ""Reviewers"": []}, {""Movie"": ""The Matrix Reloaded"", ""ReviewCount"": 0, ""Reviewers"": []}]"
Who are the first three actors born after 1970 who acted in a movie released before 1990?,"[{""actor_name"": ""Corey Feldman"", ""birth_year"": 1971, ""movie_title"": ""Stand By Me"", ""release_year"": 1986}, {""actor_name"": ""Wil Wheaton"", ""birth_year"": 1972, ""movie_title"": ""Stand By Me"", ""release_year"": 1986}, {""actor_name"": ""Jerry O'Connell"", ""birth_year"": 1974, ""movie_title"": ""Stand By Me"", ""release_year"": 1986}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE p.born > 1970 AND m.released < 1990 RETURN p.name AS Actor, p.born AS BirthYear, m.title AS Movie ORDER BY p.born LIMIT 3;","[{""Actor"": ""Corey Feldman"", ""BirthYear"": 1971, ""Movie"": ""Stand By Me""}, {""Actor"": ""Wil Wheaton"", ""BirthYear"": 1972, ""Movie"": ""Stand By Me""}, {""Actor"": ""Jerry O'Connell"", ""BirthYear"": 1974, ""Movie"": ""Stand By Me""}]"
How many people born before 1950 have directed a movie?,"[{""count(DISTINCT p)"": 13}]",MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE p.born < 1950 RETURN COUNT(p) AS DirectorsCount LIMIT 1;,"[{""DirectorsCount"": 17}]"
What is the highest rating given to any movie by any person?,"[{""highest_rating"": 100}]",MATCH (p:Person)-[r:REVIEWED]->(m:Movie) RETURN MAX(r.rating) AS HighestRating LIMIT 1;,"[{""HighestRating"": 100}]"
Which person has both acted in and directed the same movie?,"[{""person_name"": ""Tom Hanks"", ""movie_title"": ""That Thing You Do""}, {""person_name"": ""Clint Eastwood"", ""movie_title"": ""Unforgiven""}, {""person_name"": ""Danny DeVito"", ""movie_title"": ""Hoffa""}]","MATCH (p:Person)-[a:ACTED_IN]->(m:Movie)<-[d:DIRECTED]-(p) RETURN p.name AS Person, m.title AS Movie LIMIT 50;","[{""Movie"": ""That Thing You Do"", ""Person"": ""Tom Hanks""}, {""Movie"": ""Unforgiven"", ""Person"": ""Clint Eastwood""}, {""Movie"": ""Hoffa"", ""Person"": ""Danny DeVito""}]"
"List the movies with the summary ""A solid romp"".","[{""m.title"": ""The Da Vinci Code""}]","MATCH (m:Movie) WHERE m.tagline = ""A solid romp"" RETURN m.title AS Movie, m.released AS Released, m.votes AS Votes ORDER BY m.title LIMIT 50;",[]
"What is the average number of votes for movies released in the same year as ""The Matrix Revolutions""?","[{""averageVotes"": 1176.0}]","MATCH (m:Movie {title: ""The Matrix Revolutions""}) WITH m.released AS release_year MATCH (m2:Movie) WHERE m2.released = release_year RETURN AVG(m2.votes) AS AverageVotes LIMIT 1;","[{""AverageVotes"": 1180.0}]"
List the top 5 people who have produced the most number of movies with their birth years.,"[{""p.name"": ""Joel Silver"", ""p.born"": 1952, ""movies_produced"": 6}, {""p.name"": ""Lana Wachowski"", ""p.born"": 1965, ""movies_produced"": 2}, {""p.name"": ""Lilly Wachowski"", ""p.born"": 1967, ""movies_produced"": 2}, {""p.name"": ""Nora Ephron"", ""p.born"": 1941, ""movies_produced"": 1}, {""p.name"": ""Stefan Arndt"", ""p.born"": 1961, ""movies_produced"": 1}]","MATCH (p:Person)-[:PRODUCED]->(m:Movie) WITH p, COUNT(m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Producer, p.born AS BirthYear, movie_count AS MoviesProduced LIMIT 5;","[{""BirthYear"": 1952, ""MoviesProduced"": 6, ""Producer"": ""Joel Silver""}, {""BirthYear"": 1965, ""MoviesProduced"": 2, ""Producer"": ""Lana Wachowski""}, {""BirthYear"": 1967, ""MoviesProduced"": 2, ""Producer"": ""Lilly Wachowski""}, {""BirthYear"": 1941, ""MoviesProduced"": 1, ""Producer"": ""Nora Ephron""}, {""BirthYear"": 1961, ""MoviesProduced"": 1, ""Producer"": ""Stefan Arndt""}]"
